;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[shifumi1];;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;
Choice : Rock;Choice : Paper;Choice : Scissors;;;;;;;;;;;;;;;;;
Node=>pierre;Node=>papier;Node=>ciseau;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[pierre];;;;;;;;[jeu dés];;;;;;;;;;;
RandomRedoRange3;;;;;;;;OtherSpeak : How many dice do you want to roll?;;;;;;;;;;;
OtherSpeak : Rock!;OtherSpeak : Scissors!;OtherSpeak : Paper!;;;;;;SetChoices4;;;;;;;;;;;
OtherSpeak : A tie!;OtherSpeak : Heck, you got me...;OtherSpeak : Ha! Your money is mine!;;;;;;Choice : 1;;;Choice : 2;;;Choice : 3;;;Choice : 4;;
OtherSpeak : Again!;OtherSpeak : Take your prize…;Node=>bet again;;;;;;OtherSpeak : That’s 30 gold coins, please.;;;OtherSpeak : That’ll be 70 gold please.;;;OtherSpeak : That’s 100 golds to play, please.;;;OtherSpeak : That’s 150 gold coins, please.;;
Node=>shifumi1;Node=>win;;;;;;;SetChoices2;;;SetChoices2;;;SetChoices2;;;SetChoices2;;
;;;;;;;;Choice : I’m not interested anymore (leave);Choice : (bet)(trade);;Choice : I’m not interested anymore (leave);Choice : (bet)(trade);;Choice : I’m not interested anymore (leave);Choice : (bet)(trade);;Choice : I’m not interested anymore (leave);Choice : (bet)(trade);
;;;;;;;;Leave;CheckGold30;;Leave;CheckGold70;;Leave;CheckGold100;;Leave;CheckGold150;
;;;;;;;;;RemoveGold30;OtherSpeak : Not enough money, friend.;;RemoveGold70;OtherSpeak : Sorry but you need more gold to play...;;RemoveGold100;OtherSpeak : I’m afraid you don’t have enough coins.;;RemoveGold150;OtherSpeak : Come back when you have enough coins!
[papier];;;;;;;;;OtherSpeak : Let’s play!;Leave;;OtherSpeak : Let's see this roll!;Leave;;OtherSpeak : Here are the dices, roll them!;Leave;;OtherSpeak : Let's play!;Leave
RandomRedoRange3;;;;;;;;;ThrowDice1;;;ThrowDice2;;;ThrowDice3;;;ThrowDice4;
OtherSpeak : Paper!;OtherSpeak : Rock!;OtherSpeak : Scissors!;;;;;;;OtherSpeak : Wow, nice roll!;OtherSpeak : You just lost 30 gold, pal;;OtherSpeak : Very well played!;OtherSpeak : You just lost 70 gold, pal;;OtherSpeak : Nicely done!;OtherSpeak : You just lost 100 gold, pal;;OtherSpeak : We have a winner!;OtherSpeak : You just lost 150 gold, pal
OtherSpeak : Ah, a draw!;OtherSpeak : Feck…;OtherSpeak : That’s right, give me that gold!;;;;;;;Node=>win;Node=>bet again;;Node=>win;Node=>bet again;;Node=>win;Node=>bet again;;Node=>win;Node=>bet again
OtherSpeak : One more time!;OtherSpeak : Take your prize…;Node=>bet again;;;;;;;;;;;;;;;;;
Node=>shifumi1;Node=>win;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[ciseau];;;;;;;;;;;;;;;;;;;
RandomRedoRange3;;;;;;;;;;;;;;;;;;;
OtherSpeak : Scissors!;OtherSpeak : Paper!;OtherSpeak : Rock!;;;;;;;;;;;;;;;;;
OtherSpeak : That’s a draw!;OtherSpeak : You bloody cheater!;OtherSpeak : Yes! Money money ! Eheheh!;;;;;;;;;;;;;;;;;
OtherSpeak : Let’s try again!;OtherSpeak : Take your prize…;Node=>bet again;;;;;;;;;;;;;;;;;
Node=>shifumi1;Node=>win;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[bet again];;;;;[clue];;;;;;;;;;;;;;
OtherSpeak : Wanna bet again ?;;;;;PlayerSpeak : It’s an information about NOMTRESOR I was after;;;;;;;;;;;;;;
SetChoices2;;;;;OtherSpeak : Oh well;;;;;;;;;;;;;;
Choice : Sure…;Choice : No, I’ll sail away (leave);;;;OtherSpeak : I guess it’s worth a piece of information about NOMTRESOR after all.;;;;;;;;;;;;;;
Node=>debut;Leave;;;;OtherSpeak : Here it goes :;;;;;;;;;;;;;;
;;;;;OtherSpeak : No later than yesterday;;;;;;;;;;;;;;
;;;;;OtherSpeak : A man got drunk at our table and said he made a breakthrough about the treasure.;;;;;;;;;;;;;;
;;;;;OtherSpeak : Didn’t make any sense to us though.;;;;;;;;;;;;;;
[win];;;;;OtherSpeak : Not a location, not a name, but a very random word.;;;;;;;;;;;;;;
CheckIfFormulaIsland;;;;;OtherSpeak : FORMULA;;;;;;;;;;;;;;
OtherSpeak : Alright sailor !;Node=>clue;;;;OtherSpeak : Alright that’s it !;;;;;;;;;;;;;;
RandomRedoPercent20;;;;;OtherSpeak : Come back anytime;;;;;;;;;;;;;;
Node=>cheat win;Node=>really win;;;;Leave;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[really win];[cheat win];;;;;;;;;;;;;;;;;;
OtherSpeak : Here’s your money !;OtherSpeak : Something’s off! You can't just win so easily!;;;;;;;;;;;;;;;;;;
AddGold100;OtherSpeak : You’re a dirty cheater if I ever saw one!;;;;;;;;;;;;;;;;;;
Node=>bet again;OtherSpeak : Give us back 150 gold coins or.. die.;;;;;;;;;;;;;;;;;;
;SetChoices2;;;;;;;;;;;;;;;;;;
;Choice : Never! (attack);Choice : There you go… (trade);;;;;;;;;;;;;;;;;
;Node=>combatSalle;CheckGold150;;;;;;;;;;;;;;;;;
;;OtherSpeak : Glad we reached an understanding.;OtherSpeak : What the...;;;;;;;;;;;;;;;;
;;OtherSpeak : Now get out of here.;OtherSpeak : You don’t even have enough?!;;;;;;;;;;;;;;;;
;;Leave;Node=>combatSalle;;;;;;;;;;;;;;;;
