;;;;;;ChangeStory=>Epicier[debut/random village];ChangeStory=>Devin[debut/random village];ChangeStory=>Armurier[debut/random village];ChangeStory=>Armes[debut/random village];ChangeStory=>Manoir[debut/random village];ChangeStory=>Village[place du village/random village]
;;;;;;;;;;;
[random village 2];;;;;;;;;;;
RandomRange12;;;;;;;;;;;
Node=>puit;Node=>poissoniers;Node=>bandits;Node=>devant taverne;Node=>boutique;Node=>hangar;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : At the end of the street, a small path leads to a massive old house.;Narrator : The street ends on another plaza. This village is definitely bigger than it seems...
;;;;;;ChangeStory=>Epicier[debut/random village];ChangeStory=>Devin[debut/random village];ChangeStory=>Armurier[debut/random village];ChangeStory=>Armes[debut/random village];ChangeStory=>Manoir[debut/random village];ChangeStory=>Village[place du village/random village]
;;;;;;;;;;;
[random village 3];;;;;;;;;;;
RandomRange12;;;;;;;;;;;
Node=>puit;Node=>poissoniers;Node=>bandits;Node=>devant taverne;Node=>boutique;Node=>hangar;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : A few meters into the street, CAPITAINE sees a small shop.;Narrator : At the end of the street, a small path leads to a massive old house.;Narrator : The street ends on another plaza. This village is definitely bigger than it seems...
;;;;;;ChangeStory=>Epicier[debut/random village];ChangeStory=>Devin[debut/random village];ChangeStory=>Armurier[debut/random village];ChangeStory=>Armes[debut/random village];ChangeStory=>Manoir[debut/random village];ChangeStory=>Village[place du village/random village]
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[puit];;;;;;;;;;;
SetBG(Village);;;;;;;;;;;
Narrator : At the end of the path, CAPITAINE sees a small stone well.;;;;;;;;;;;
[choix puit];;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : (go back to the town square) (leave);Choice : (go down in the well);;;;;;;;;;
Fade;CheckInInventory<Corde>/Misc;;;;;;;;;;
Node=>random village;Fade;PlayerSpeak : If only I had a rope...;;;;;;;;;
;SetBG(Cave);Node=>choix puit;;;;;;;;;
;Narrator : The bottom of the well is dark.;;;;;;;;;;
;RandomRange2;PlayerSpeak : Yep, it’s too dark, i’m gonna need a rope;;;;;;;;;
;PlayerSpeak : Still, we can see deep down in it;[choix lanterne];;;;;;;;;
;Narrator : Said CAPITAINE .;SetChoices2;;;;;;;;;
;Fade;Choice : (climb up the rope) (leave);Choice : (get lantern out);;;;;;;;
;Node=>suite puit;Fade;CheckInInventory<Lanterne>/Misc;;;;;;;;
;;Node=>puit;PlayerSpeak : Giddy up!;PlayerSpeak : Nope, don’t have any;;;;;;;
;;;PlayerSpeak : At last, we see bright & clear !;Node=>choix lanterne;;;;;;;
;;;Fade;;;;;;;;
[suite puit];;;Node=>suite puit;;;;;;;;
RandomPercent25;;;;;;;;;;;
Narrator : Despite the efforts of CAPITAINE to get down here, the well is empty... Not a drop of water.;Narrator : CAPITAINE can feel a draught coming from a crack in the wall, barely big enough to go through.;;;;;;;;;;
Fade;SetChoices2;;;;;;;;;;
Node=>random village;Choice : (climb up) (leave);Choice : (slip into the hole);;;;;;;;;
;Fade;RandomRange3;;;;;;;;;
;Node=>random village;Narrator : After walking into the tunnel on the other side of the crack for what seems like an eternity, a stone door blocks the path of CAPITAINE.;Narrator : After walking into the tunnel on the other side of the crack for what seems like an eternity, CAPITAINE finally sees daylight.;Narrator : Once out of the tunnel, CAPITAINE emerges into a dense, dark forest.;;;;;;;
;;ChangeStory=>Grotte[description suite/suite puit];Narrator : It leads to a small beach, on which lies a shipwreck.;ChangeStory=>Bois[milieu foret/suite puit];;;;;;;
;;;ChangeStory=>Epave[choix1/suite puit];;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[bandits];;;;;;;;;;;
Narrator : The street gets narrower and darker. A group of threatening, armed men are standing in CAPITAINE's way.;;;;;;;;;;;
ChangeStory=>Bandits[arrivée bandits/random village];;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[devant taverne];;;;;;;;;;;
Narrator : The path leads to a warm and cosy-looking tavern.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : Let’s head back. (leave);Choice : In we go!;;;;;;;;;;
Fade;Fade;;;;;;;;;;
Node=>place du village;ChangeStory=>Taverne[taverne normale/devant taverne];;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[poissoniers];;;;;;;;;;;
Narrator : A few fishermen are selling their catch of the day on rudimentary stalls.;;;;;;;;;;;
NewCrew4;;;;;;;;;;;
OtherSpeak : Ahoy!;;;;;;;;;;;
OtherSpeak : What do you need, good sir?;;;;;;;;;;;
[choix poissoniers];;;;;[choix poissoniers – other];;;;;;
SetChoices4;;;;;SetChoices3;;;;;;
Choice : Nevermind! (leave);Choice : Do you know anything about NOMTRESOR?;;Choice : Sell me some food!;Choice: (other);Choice : How's life here in this lovely village? (quest);;Choice : Telll me more about this place;;Choice: (other);;
OtherSpeak : See you next time!;RandomRange2;;RandomPercent60;Node=>choix poissoniers – other;RandomPercent65;;RandomRange2;;Node=>choix poissoniers;;
HideOther;OtherSpeak : Of course, it's a legend well known where I come from.;OtherSpeak : Nope, never heard of it.;TradeFood;;OtherSpeak : Oh it's beautiful and mellow!;NewQuest=>choix poissoniers;OtherSpeak : I dont have any time to chit-chat !;GiveTip;;;
Node=>random village;OtherSpeak : Head DIRECTIONTOFORMULA, and you're sure to be in the right direction!;Node=>choix poissoniers;Node=>choix poissoniers;;OtherSpeak : We have great weather, almost no crime, the pirates stay out of our business...;Node=>choix poissoniers – other;Node=>choix poissoniers – other;Node=>choix poissoniers – other;;;
;Node=>choix poissoniers;;;;Node=>choix poissoniers – other;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[boutique];;;;;;;;;;;
Narrator : Between a few shabby looking shacks, a small shop is open.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : Lets go back, I don't trust it. (leave);Choice : Let’s check out the shop!;;;;;;;;;;
Fade;ChangeStory=>Quincaillerie[marchand/random village];;;;;;;;;;
Node=>place du village;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
[hangar];;;;;;;;;;;
Narrator : As they're progressing through the street, CAPITAINE starts hearing sounds of saws that gets progressively louder. The smell of wood and sawdust hangs in the air.;;;;;;;;;;;
SetChoices2;;;;;;;;;;;
Choice : (go back to the town square) (leave);Choice : (enter the boat workshop);;;;;;;;;;
Fade;ChangeStory=>Hangar[charpentier/random village];;;;;;;;;;
Node=>place du village;;;;;;;;;;;
