[pirates morts];;;;;;;;;;;;;;;;;;
SetBG(Island);;;;;;;;;;;;;;;;;;
Narrator : The corpses of the defeated pirates are scattered all around. Their boat is still on the beach.;;;;;;;;;;;;;;;;;;
[choix pirates morts];;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : (go back to the farm) (leave);Choice : (search the boat) (loot);;;;;;;;;;;;;;;;;
Fade;SetBG(Boat);;;;;;;;;;;;;;;;;
Node=>choix ferme;RandomRange2;;;;;;;;;;;;;;;;;
;RandomRange2;;PlayerSpeak : It’s empty...;;;;;;;;;;;;;;;
;PlayerSpeak : What a well furnished pantry! Looks like these guys had just restocked!;PlayerSpeak : Weapons and… Things…;Node=>choix pirates morts;;;;;;;;;;;;;;;
;LootFood;LootWeapons/Misc;;;;;;;;;;;;;;;;
;Node=>choix pirates morts;Node=>choix pirates morts;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[rencontre fermière];;;;;;;;;;;;;;;;;;
OtherSpeak : Hi there!;;;;;;;;;;;;;;;;;;
Node=>discussion fermière;;;;;;;;;;;;;;;;;;
[discussion fermière];;;;;;;;;;;;;;;;;;
SetChoices4;;;;;;;;;;;[autre];;;;;;;
Choice : (go back to the farm) (leave);Choice : Anything to sell? (trade);;;Choice : Do you like being alone here? (member);;;;;Choice : (other);;SetChoices4;;;;;;;
HideOther;RandomRange2;;;RandomRange3;;;;;Node=>autre;;Choice : Do you know about NOMTRESOR?;;Choice : (attack);Choice : What’s up around the farm ? (quest);;;Choice : (other);
Fade;OtherSpeak : I only have enough to sustain my family. Good luck!;;OtherSpeak : Let me take a look at what we have!;OtherSpeak : Not really alone, but I love the life I have here!;OtherSpeak : Oh god, yes!;;OtherSpeak : Well since my grandpa died...;;;;RandomRange2;;Node=>combat fermière;RandomPercent65;;;Node=>discussion fermière;
Node=>choix ferme normale;SetChoices2;;TradeFood/Misc;OtherSpeak : My husband is just away fishing during the day as I tend to the farm.;OtherSpeak : That's why I chose to be here on my own.;;OtherSpeak : I've been thinking of leaving.;;;;OtherSpeak : I see a lot of boats go in the same direction.;OtherSpeak : Nope, never heard of it, sorry!;;RandomRange2;;NewQuest=>discussion fermière;;
;Choice : I understand. (leave);Choice : (attack);Node=>discussion fermière;Node=>discussion fermière;SetChoices2;;SetChoices2;;;;OtherSpeak : I think they’re probably looking for that thing you talk about?;Node=>autre;;OtherSpeak : It was my grandfathers farm.;GiveTip;;;
;Node=>discussion fermière;RemoveKarma;;;Choice : How about a job on our ship? (cha);Choice : Alright, nevermind.;Choice : (offer post on board) (cha);Choice : Ups;;;OtherSpeak : They’re all going DIRECTIONTOFORMULA.;;;OtherSpeak : It barely produces enough for me to eat.;Node=>discussion fermière;;;
;;Node=>combat fermière;;;PlayerSpeak : Life on sea is calm and quiet too.;Node=>discussion fermière;PlayerSpeak : How about joining our crew?;Node=>discussion fermière;;;Node=>autre;;;Node=>discussion fermière;;;;
;;;;;Node=>proposition;;PlayerSpeak : You grandad would be proud!;;;;;;;;;;;
[combat fermière];;;;;;;PlayerSpeak : Wouldn’t he?;;;;;;;;;;;
OtherSpeak : Lord almighty!;;;;;;;Node=>proposition;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;
[fermière morte];;;;;[proposition];;;;;;;;;;;;;
Narrator : With the farm girl gone, the door of the house is wide open. A path leads further into the hills, another back to the boat.;;;;;CheckStatCHA;;;;;;;;;;;;;
SetChoices3;;;;;OtherSpeak : Oh why the hell not?;OtherSpeak : No thank you!;;;;;;;;;;;;
Choice : (get back to the boat) (leave);Choice : (search house) (loot);Choice : (follow the path);;;OtherSpeak : If you’ve got the room on board!;OtherSpeak : The pirate life isn’t for me.;;;;;;;;;;;;
Fade;Node=>maison;Node=>plage2;;;AddMember;Node=>discussion fermière;;;;;;;;;;;;
Node=>debut;;;;;Fade;;;;;;;;;;;;;
;;;;;Node=>fermière morte;;;;;;;;;;;;;
[maison];;;;;;;;;;;;;;;;;;
SetBG(House);;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;
RandomRange2;;;;;;;;;;;;;;;;;;
Narrator : The house is completly empty.;ChangeStory=>Manoir[entrée maison/fermière morte];;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;
Node=>fermière morte;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[moulin];;;;;;;;;;;;;;;;;;
Narrator : A windmill surrounded by fields can be seen between the hills.;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : (go back to the farm) (leave);Choice : (enter the mill);;;;;;;;;;;;;;;;;
Fade;Fade;;;;;;;;;;;;;;;;;
Node=>choix ferme;SetBG(House);;;;;;;;;;;;;;;;;Choice : Hop on in (member)
;RandomRange3;;;;;;;;;;;;;;;;;
;PlayerSpeak : We can’t see much from here.;PlayerSpeak : Some stairs.;;Narrator : A few crates of food are stacked in the corner.;;;;;;;;;;;;;;
;Fade;SetChoices2;;SetChoices2;;;;;;;;;;;;;;
;Node=>choix ferme;Choice : (climb);Choice : (go away) (leave);Choice : (open crates);Choice : (leave);;;;;;;;;;;;;
;;Fade;Fade;LootFood;Fade;;;;;;;;;;;;;
;;Node=>haut moulin;Node=>choix ferme;Fade;Node=>choix ferme;;;;;;;;;;;;;
;;;;Node=>choix ferme;;;;;;;;;;;;;;
[haut moulin];;;;;;;;;;;;;;;;;;
PlayerSpeak : Wow!;;;;;;;;;;;;;;;;;;
PlayerSpeak : What a view! It's breathtaking...;;;;;;;;;;;;;;;;;;
[choix moulin];;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;
Choice : Let’s go down.;Choice : (look at the horizon);Choice : (observe with eye glass);;;;;;;;;;;;;;;;
Fade;PlayerSpeak : We can’t see much.;CheckInInventory<Longue vue>/Misc;;;;;;;;;;;;;;;;
Node=>choix ferme;Fade;Fade;PlayerSpeak : I wish I had an eyeglass...;;;;;;;;;;;;;;;
;Node=>choix moulin;ObserveHorizon;Node=>choix moulin;;;;;;;;;;;;;;;
;;PlayerSpeak : Ah, we can see much further!;;;;;;;;;;;;;;;;
;;Node=>choix moulin;;;;;;;;;;;;;;;;
