Narrator : Les cadavres des pirates sont étalés sur la plage. Leur bateau est toujours accosté.;;;;;;;;;;;;;;;;;;
[choix pirates morts];;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : (retourner à la ferme)(partir);Choice : (fouiller le bateau)(loot);;;;;;;;;;;;;;;;;
Fade;RandomRange2;;;;;;;;;;;;;;;;;
Node=>choix ferme;RandomRange2;;PlayerSpeak : Il est totalement vide;;;;;;;;;;;;;;;
;PlayerSpeak : Leur garde manger est bien fourni;PlayerSpeak : Des armes et des babioles.;Node=>choix pirates morts;;;;;;;;;;;;;;;
;LootFood;LootWeapons/Misc;;;;;;;;;;;;;;;;
;Node=>choix pirates morts;Node=>choix pirates morts;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[rencontre fermière];;;;;;;;;;;;;;;;;;
OtherSpeak : Bonjour !;;;;;;;;;;;;;;;;;;
Node=>discussion fermière;;;;;;;;;;;;;;;;;;
[discussion fermière];;;;;;;;;;;;;;;;;;
SetChoices4;;;;;;;;;;;[autre];;;;;;;
Choice : (retourner devant ferme)(partir);Choice : Quelque chose à vendre ?(trade);;;Choice : Vous vous sentez pas seule par ici ? (membre);;;;;Choice : (autre);;SetChoices4;;;;;;;
HideOther;RandomRange2;;;RandomRange3;;;;;Node=>autre;;Choice : NOMTRESOR ?;;Choice : (attaquer);Choice : Tout se passe bien dans la ferme ?! (quete);;Choice : (autre);;
Fade;OtherSpeak : Je n'en ai que assez pour ma famille ! Désolé.;;OtherSpeak : Laissez moi regarder dans mes reserves…;OtherSpeak : Non.;OtherSpeak : Si et heureusement !;;OtherSpeak : Si un peu;;;;RandomRange2;;Node=>combat fermière;RandomPercent65;;Node=>discussion fermière;;
Node=>choix ferme normale;SetChoices2;;TradeFood/Misc;OtherSpeak : Mon mari est juste parti;OtherSpeak : Je ne me suis pas installée ici pour les foires !;;OtherSpeak : Depuis la mort de papi…;;;;OtherSpeak : Je vois des mats passer par là.;OtherSpeak : Non ça ne me dit rien;;OtherSpeak : Ça elle était à mon papi !;NewQuest=>discussion fermière;;;
;Choice : Ce n'est rien(partir);Choice : (attaquer);Node=>discussion fermière;Node=>discussion fermière;SetChoices2;;SetChoices2;;;;OtherSpeak : Ils doivent chercher ce dont vous parlez.;Node=>autre;;OtherSpeak : En plus elle produit que des betteraves.;;;;
;Node=>discussion fermière;RemoveKarma;;;Choice : Ça vous dis un poste sur le bateau ?(cha);Choice : Je comprends;Choice : (lui proposer un poste sur le bateau)(cha);Choice : Oups;;;OtherSpeak : Ils partent DIRECTIONTOFORMULA;;;Node=>discussion fermière;;;;
;;Node=>combat fermière;;;PlayerSpeak : La vie est mer est tout aussi solitaire et tranquille.;Node=>discussion fermière;PlayerSpeak : Ça ne vous dirait pas de nous rejoindre ?;Node=>discussion fermière;;;Node=>autre;;;;;;;
;;;;;Node=>proposition;;PlayerSpeak : Ton papi serait fière.;;;;;;;;;;;
[combat fermière];;;;;;;PlayerSpeak : Non ?;;;;;;;;;;;
OtherSpeak : Dieu tout puissant !;;;;;;;Node=>proposition;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;
[fermière morte];;;;;[proposition];;;;;;;;;;;;;
Narrator : La ferme de la jeune fille est maintenant vide. La porte de la maison est grande ouverte. Un chemin mène vers la plage, un autre s'aventure derrière la maison.;;;;;RandomRange2;;;;;;;;;;;;;
SetChoices3;;;;;CheckStatCHA;;OtherSpeak : L'univers des marins et machiste et rustre !;;;;;;;;;;;
Choice : (retourner sur la plage)(partir);Choice : (fouiller maison)(loot);Choice : (suivre chemin);;;OtherSpeak : Oh, et puis pourquoi pas.;OtherSpeak : Sûrement pas !;OtherSpeak : J'ai besoin de savoir que vous me considérez en tant que femme.;;;;;;;;;;;
Fade;Node=>maison;Node=>plage2;;;OtherSpeak : Si vous avez la place…;OtherSpeak : La vie de pirate n'est pas pour moi !;OtherSpeak : Offrez moi une jolie paire de boucles d'oreilles, et je suis de la partie.;;;;;;;;;;;
Node=>debut;;;;;AddMember;Node=>discussion fermière;CheckInInventory<Boucles d’oreille>/Misc;;;;;;;;;;;
;;;;;Fade;;SetChoices2;;SetChoices2;;;;;;;;;
[maison];;;;;Node=>fermière morte;;Choice : J'en ai pas !;Choice : (donner boucles);Choice : J'en ai pas !;Choice : (donner boucles);;;;;;;;
Fade;;;;;;;OtherSpeak : Tanpis alors...;OtherSpeak : Oh, et puis pourquoi pas.;OtherSpeak : Tanpis alors...;OtherSpeak : C’est du bluff ! Vous n’avez rien !;;;;;;;;
RandomRange2;;;;;;;Leave;RemoveFromInventory<Boucles d’oreille>/Misc;Leave;Leave;;;;;;;;
Narrator : La maison est totalement vide.;ChangeStory=>Manoir[entrée maison/fermière morte];;;;;;;AddMember;;;;;;;;;;
Fade;;;;;;;;Fade;;;;;;;;;;
Node=>fermière morte;;;;;;;;Node=>fermière morte;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[moulin];;;;;;;;;;;;;;;;;;
Narrator : Un immense moulin se dresse au loin. Il est entouré de champs vides.;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;
Choice : (retourner à la ferme)(partir);Choice : (entrer dans moulin);;;;;;;;;;;;;;;;;
Fade;Fade;;;;;;;;;;;;;;;;;
Node=>choix ferme;RandomRange3;;;;;;;;;;;;;;;;;Choice : Allez monte (membre)
;PlayerSpeak : Il n'y a pas grands choses à voir.;PlayerSpeak : Un escalier !;;Narrator : Quelques caisses de nourriture sont posées dans un coin.;;;;;;;;;;;;;;
;Fade;SetChoices2;;SetChoices2;;;;;;;;;;;;;;
;Node=>choix ferme;Choice : (monter);Choice : (partir);Choice : (ouvrir);Choice : (partir);;;;;;;;;;;;;
;;Fade;Fade;LootFood;Fade;;;;;;;;;;;;;
;;Node=>haut moulin;Node=>choix ferme;Fade;Node=>choix ferme;;;;;;;;;;;;;
;;;;Node=>choix ferme;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
[haut moulin];;;;;;;;;;;;;;;;;;
PlayerSpeak : Wow !;;;;;;;;;;;;;;;;;;
PlayerSpeak : La vue est impressionante.;;;;;;;;;;;;;;;;;;
[choix moulin];;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;
Choice : On redescend !;Choice : (regarder l'horizon);Choice : (observer avec longue vue);;;;;;;;;;;;;;;;
Fade;PlayerSpeak : On voit pas grand chose.;CheckInInventory<Longue vue>/Misc;;;;;;;;;;;;;;;;
Node=>choix ferme;Fade;Fade;PlayerSpeak : Je n'ai pas de Longue vue...;;;;;;;;;;;;;;;
;Node=>choix moulin;ObserveHorizon;Node=>choix moulin;;;;;;;;;;;;;;;
;;PlayerSpeak : On y voilà nettement plus clair.;;;;;;;;;;;;;;;;
;;Node=>choix moulin;;;;;;;;;;;;;;;;
