Leave;Node=>combat garde;OtherSpeak : Bon, entrez…;OtherSpeak : Vous vous foutez de moi ?!;;;;Node=>choix garde;;;;;;;;;;;;;
;;Node=>caserne;OtherSpeak : Cassez vous !;;;;;;;;;;;;;;;;;
;;;Node=>pas rentrer;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[combat garde];;;;;;;;;;;;;;;;;;;;
PlayerSpeak : Tu en décuira !;;;;;;;;;;;;;;;;;;;;
LaunchCombat;;;;;;;;;;;;;;;;;;;;
Narrator : Le garde est à terre. Et les portes du camp s'ouvrent;;;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;;;;;;;;;
OtherSpeak : Qu'est-ce que c'est que cette tintanière ?!;Node=>caserne vide;Node=>combat soldats;;;;;;;;;;;;;;;;;;
OtherSpeak : Putain ils ont tué Dédé ! Choppez les !;;;;;;;;;;;;;;;;;;;;
Node=>combat soldats;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[caserne];;;;;;;;;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;;;;;;;;;
Narrator : Le campement n'est pas très grand. Un feu de joie brûle fort et quelques soldats boivent autour.;Node=>caserne vide;Node=>combat soldats;;;;;;;;;;;;;;;;;;
[debut soldats];;;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;;
Choice : (retourner à l'entrée)(partir);Choice : (parler aux soldats);;Choice : Je veux parler à votre chef !;;;;;;;;;;;;;;;;;
HideOther;PlayerSpeak : Ahoi !;;[demande chef];;;;;;;;;;;;;;;;;
Fade;RandomPercent30;;RandomPercent75;;OtherSpeak : Suis moi !;;;;;;;;;;;;;;;
Node=>entrée caserne;OtherSpeak : On est occupé !;OtherSpeak : Oui ?;OtherSpeak : Suis moi !;OtherSpeak : On en a pas.;Fade;;;;;;;;;;;;;;;
;Node=>caserne;Node=>choix soldats;Fade;Node=>debut soldats;Node=>chef caserne;;;;;;;;;;;;;;;
;;;Node=>chef caserne;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[choix soldats];;;;;;;;;;;;;;;;;;;;
SetChoices4;;;;;;;;[engagement];;;;;;;;[jeu de carte];;;;
Choice : Non rien(partir);Choice : Vous vous plaisez ici ? (membre);;Choice : Ça vous parle, NOMTRESOR ?;;Choice : (attaquer);;;Node=>pas encore;Node=>déjà;;;;;;;OtherSpeak : On s'ennuie à mort !;OtherSpeak : Si c'est pas notre sauveur !;;;
OtherSpeak : Ok…;RandomRange2;;RandomRange2;;RemoveKarma;;;;;;;;;;;OtherSpeak : Si seulement on avait un jeu de carte.;OtherSpeak : On carbure à la belotte en ce moment !;;;
Node=>debut soldats;Node=>engagement;Node=>jeu de carte;OtherSpeak : On a coulé un bateau pirate qui en parlait.;OtherSpeak : Non, rien du tout…;Node=>combat soldats;;;;;;;;;;;OtherSpeak : Ou une babiole dans le genre.;Node=>choix soldats;;;
;;;OtherSpeak : Ils allaient DIRECTIONTOFORMULA;Node=>choix soldats;;;;[pas encore];;;;;;[déjà];;CheckInInventory<Jeu de carte>/Misc;;;;
;;;OtherSpeak : Je crois;;;;;RandomRange3;;;;;;OtherSpeak : Vous nous avez déjà pris un copain.;;SetChoices2;;;SetChoices2;
;;;SetChoices2;;;;;OtherSpeak : C'est le paradis !;OtherSpeak : Bof…;;;OtherSpeak : Je n'ai qu'un rêve, c'est de partir.;;OtherSpeak : Laissez nous maintenant;;Choice : J'en ai pas !;Choice : (donner jeu de carte);;Choice : J'en ai pas !;Choice : (donner jeu de carte)
;;;Choice : Merci !;Choice : Viens donc le chercher avec nous ! (membre);;;;PlayerSpeak : Ah…;SetChoices2;;;SetChoices2;;Node=>choix soldats;;OtherSpeak : Tanpis alors...;OtherSpeak : Alors là !;;OtherSpeak : Tanpis alors...;OtherSpeak : Vous n’en avez pas
;;;Node=>choix soldats;RandomPercent85;;;;Node=>choix soldats;Choice : (charmer)(cha);;Choice : C'est dommage !;Choice : Rejoins nous !;Choice : C'est dommage !;;;Node=>choix soldats;OtherSpeak : C'est bien urbain !;;Node=>choix soldats;Node=>choix soldats
;;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Allez pourquoi pas;;;;CheckStatCHA;;OtherSpeak : Mouais…;OtherSpeak : Avec plaisir !;OtherSpeak : Ouais…;;;;OtherSpeak : Laissez nous vous remiercier !;;;
;;;;PlayerSpeak : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;;;OtherSpeak : Vraiment bof là…;OtherSpeak : Allez pourquoi pas;Node=>choix soldats;AddMember;Node=>choix soldats;;;;Switch=>jeu de carte;;;
;;;;Node=>choix soldats;AddMember;;;;PlayerSpeak : Tanpis pour toi !;PlayerSpeak : Bienvenue !;;Switch=>engagement;;;;;RemoveFromInventory<Jeu de carte>/Misc;;;
[combat soldats];;;;;Node=>choix soldats;;;;Node=>choix soldats;AddMember;;Node=>choix soldats;;;;;[merci jeu de carte];;;
OtherSpeak : Crêtin !;;;;;;;;;;Switch=>engagement;;;;;;;SetChoices3;;;
LaunchCombat;;;;;;;;;;Node=>choix soldats;;;;;;;Choice : J'aurais bien besoin d'un coup de main sur le bateau (membre);Choice : On a une sacré fingale ! (loot);Choice : On est mals armés (loot);
Node=>caserne vide;;;;;;;;;;;;;;;;;Node=>demande membre;OtherSpeak : Il doit nous rester quelques rations.;OtherSpeak : Et nous beaucoup trop !;
;;;;;;;;;;;;;;;;;;OtherSpeak : Tiens !;LootWeapons;
;;;;;;;;;;;;;;;;;;LootFood;Node=>caserne;
;;;;;;;;;;;;;;;;;;Node=>caserne;;
[chef caserne];;;;;;;;;;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;;;;;;;;;
[chef mauvais karma];;;;;;;;[payer karma];;;;;;;;;[demande membre];;;
PlayerSpeak : Olah !;Node=>payer karma;;;;;;;OtherSpeak : Bon. C'est simple.;;;;;;;;;RandomRange2;;;
OtherSpeak : Hello !;;;;;;;;OtherSpeak : Paye BOUNTY ou meurs.;;;;;;;;;[daccord];OtherSpeak : Faut voir;;
CheckKarma;;;;;;;;SetChoices3;;;;;;;;;OtherSpeak : Vous savez quoi;OtherSpeak : Je sais pas si le chef sera OK.;;
SetChoices2;;SetChoices2;;;Node=>choix chef;Node=>choix chef;;Choice : Tenez…(trade);;Choice : Il en est hors de question.(attaquer);Choice : (tenter de fuir)(dex);;;;;;OtherSpeak : J'ai toujours eu envie de prendre la mer.;SetChoices2;;
Choice : On m'a dit que vous pouviez m'aider;Choice : Discutons;Choice : Parlons;Choice : J'ai besoin d'aide(cha);;;;;PayBounty;;OtherSpeak : Je vais t’exécuter personnellement;CheckStatDEX;;;;;;OtherSpeak : Je vous rejoins;Choice : Laisse tomber vas...;Choice : Faites un éffort...(cha);
Node=>chef karma;Node=>choix chef;Node=>choix chef;CheckStatCHA;OtherSpeak : Non.;;;;OtherSpeak : Bien… Tu es en règle.;OtherSpeak : Tu n'a pas assez;Node=>combat chef;OtherSpeak : !;OtherSpeak : Délit de fuite !;;;;;AddMember;Node=>merci jeu de carte;CheckStatCHA;
;;;Node=>chef karma;OtherSpeak : On t'as laisser rentrer.;;;;OtherSpeak : Mais on t'as à l'oeil. Sors de ma tente.;OtherSpeak : La loi c'est la loi.;;Leave;RemoveKarma;;;;;Node=>caserne;;Node=>daccord;OtherSpeak : Navré, on a du travail ici.
[chef karma];;;;OtherSpeak : Tu veux quoi d'autres.;;;;HideOther;OtherSpeak : Je vais t’exécuter personnellement;;;OtherSpeak : Je vais t’exécuter personnellement;;;;;;;;Node=>merci jeu de carte
OtherSpeak : Quelqu'un comme vous ? Avec plaisir !;OtherSpeak : Ah non, c'est déjà fait;;;Node=>choix chef;;;;Fade;Node=>combat chef;;;Node=>combat chef;;;;;;;;
Node=>besoin;OtherSpeak : N'abusez pas de ma générosité;;;;;;;Node=>caserne;;;;;;;;;;;;
;Node=>choix chef;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Choice : Je vous en prends un (membre);;;;;;;;;;;
[choix chef];;;;;;;;;[besoin];;;;;;;;;;;
SetChoices3;;;;;;;;;Switch=>chef karma;;;;;[mec1];;[mec2];;[mec3];;
Choice : Je dois y aller !(partir);Choice : Vous avez des armes ?(trade);;;;;Choice : Vous avez quelques conseils ?;;;OtherSpeak : vous avez besoin de quelque chose ?;;;;;NewCrew1;;NewCrew1;;NewCrew1;;
OtherSpeak : A plus tard;RandomRange2;;;;;RandomRange2;;;SetChoices4;;;;;OtherSpeak : Le fameux CAPITAINE ! Quel chance;;OtherSpeak : Yo;;OtherSpeak : Enchanté;;
Fade;OtherSpeak : Oui quelques une dans l'arrière tente.;;;OtherSpeak : Oui mais seulement pour mes hommes ;;OtherSpeak : Pas vraiment.;OtherSpeak : Quelques uns !;;Choice : Ça ira…(partir);Choice : De la bouffe !(loot);Choice : Des armes !(loot);Choice : Des marins ! (membre);;SetChoices2;;SetChoices2;;SetChoices2;;
HideOther;OtherSpeak : Suivez moi;;;SetChoices2;;Node=>choix chef;OtherSpeak : Par exemple :;;AddKarma;OtherSpeak : Servez vous;OtherSpeak : Servez vous;OtherSpeak : Laissez moi voir;;Choice : Allez monte (membre);Choice : Je veux voir quelqu'un d'autre.(autre);Choice : Allez monte (membre);Choice : Je veux voir quelqu'un d'autre.(autre);Choice : Allez monte(membre);Choice : Je veux voir quelqu'un d'autre.(autre);
Node=>caserne;SetChoices2;;;Choice : Je vais les prendre de force dans ce cas (attaquer);Choice : OK;;GiveTip;;OtherSpeak : !;LootFood;LootWeapons;OtherSpeak : Y'en a bien un ou deux qui doit trainer dans le coin;;OtherSpeak : C'est une splendide nouvelle !;Node=>mec2;OtherSpeak : K, j'le dis au patron;Node=>mec3;OtherSpeak : Tout de suite;OtherSpeak : J'étais le dernier;
;Choice : Je vous suis.;;Choice : Peu pour moi;Node=>combat chef;Node=>choix chef;;Node=>choix chef;;OtherSpeak : Vous êtes décidément une légende de bonté !;OtherSpeak : Qu'est-ce que je peux faire d'autre;OtherSpeak : Qu'est-ce que je peux faire d'autre;HideOther;;OtherSpeak : Je rappelle le chef;;AddMember;;AddMember;OtherSpeak : Je vous ramène au chef;
;HideOther;;OtherSpeak : C'est vous qui voyez;;;;;;OtherSpeak : Qu'est-ce que je peux faire pour vous;Node=>choix chef;Node=>choix chef;Fade;;AddMember;;Node=>chef caserne;;Node=>chef caserne;Node=>chef caserne;
;Fade;;Node=>choix chef;;;;;;Node=>choix chef;;;Node=>mec1;;Node=>chef caserne;;;;;;
;RandomRange2;;;;;;;;;;;;;;;;;;;
;OtherSpeak : Voilà la came!;Node=>guétapens;;;;;;;;;;;;;;;;;;
;TradeWeapons;;;;;;;;;;;;;;;;;;;
;Node=>choix chef;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[guétapens];;;;;;;;;;;;;;;;;;;;
OtherSpeak : AAAA ! Tu es tombé dans mon piège;;;;;;;;;;;;;;;;;;;;
OtherSpeak : Tu vas me donner 50 pièces d'or.;;;;;;;;;;;;;;;;;;;;
OtherSpeak : Et et je te laisse en vie !;;;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;;;
Choice : Sûrement pas(attaquer);;Choice : Tenez(trade);;;;;;;;;;;;;;;;;;
[combat chef];;CheckGold50;;;;;;;;;;;;;;;;;;
OtherSpeak : Il t'en coutra tes argnoles ! ;;RemoveGold50;;;;;;;;;;;;;;;;;;
LaunchCombat;;OtherSpeak :  Et ne revenez plus jamais ici;;;;;;;;;;;;;;;;;;
PlayerSpeak : AHA !;;Node=>debut;;;;;;;;;;;;;;;;;;
NewCrew3;;;;;;;;;;;;;;;;;;;;
OtherSpeak : Capitaine !;;;;;;;;;;;;;;;;;;;;
RandomPercent50;SetChoices2;;;;;;;;;;;;;;;;;;;
Node=>combat soldats;Choice : Il a essayé de me voler !(cha);;;Choice : Vous êtes des nuls !(trade);;;;;;;;;;;;;;;;
;CheckStatCHA;;;LaunchCombat;;;;;;;;;;;;;;;;
;OtherSpeak : Il faisait ça parfois.;;OtherSpeak : Mais oui c'est ça !;Fade;;;;;;;;;;;;;;;;
;OtherSpeak : Vous savez quoi… Je ferme les yeux.;;OtherSpeak : à l'attaque !;Node=>caserne vide;;;;;;;;;;;;;;;;
;OtherSpeak :  Mais, bon faites profil bas;;LaunchCombat;;;;;;;;;;;;;;;;;
;SetChoices2;;Fade;;;;;;;;;;;;;;;;;
;Choice : Compris !;Choice : Non !(attaquer);Node=>caserne vide;;;;;;;;;;;;;;;;;
;AddKarma;LaunchCombat;;;;;;;;;;;;;;;;;;
;OtherSpeak : Allez, au revoir;RemoveKarma;;;;;;;;;;;;;;;;;;
;Node=>debut;Fade;;;;;;;;;;;;;;;;;;
;;Node=>caserne vide;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
[caserne vide];;;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;;;
Narrator : Le camp est vide mais le feu de joie brûle toujours. Il n'y a seulement qu'une poignée de tentes.;;;;;;;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;;;;;;;
Choice : Lever l'ancre(partir);Choice : (dormir près du feu)(dormir);Choice : (fouiller les tentes)(loot);;;;;;;;;;;;;;;;;;
Fade;PlayerSpeak : Au dodo !;Fade;;;;;;;;;;;;;;;;;;
PlayerSpeak : Allez, en route;ChangeTimeOfDay;[tentes];;;;;;;;;;;;;;;;;;
Leave;Node=>caserne vide;SetChoices4;;;;;;;;;;;;;;;;;;
;;Choice : (retourner au feu)(partir);Choice : (fouiller première tente)(loot);;Choice : (fouiller deuxieme tente)(loot);;Choice : (fouiller deuxieme tente)(loot);;;;;;;;;;;;;
;;Fade;RandomPercent20;;RandomPercent20;;RandomPercent20;;;;;;;;;;;;;
;;Node=>caserne vide;PlayerSpeak : L'arsenal !;PlayerSpeak : C'est un arsenal. Il est vide !;PlayerSpeak : Que des babioles;PlayerSpeak : Rien dans celle-ci !;PlayerSpeak : Le garde manger ! ;PlayerSpeak : C'est le garde mangé !;;;;;;;;;;;;
;;;LootWeapons;Node=>tentes;LootMisc;Node=>tentes;LootFood;PlayerSpeak : Mais il n'y a plus rien;;;;;;;;;;;;
;;;Node=>tentes;;Node=>tentes;;Node=>tentes;Node=>tentes;;;;;;;;;;;;
