OtherSpeak : Réessaye !;OtherSpeak : Prends ton argent…;Leave;;;;;;OtherSpeak : Le pari est à 30 pièces d'or;;;OtherSpeak : Le pari est à 70 pièces d'or;;;OtherSpeak : Le pari est à 100 pièces d'or;;;OtherSpeak : Le pari est à 150 pièces d'or;;
Node=>shifumi1;AddGold100;;;;;;;SetChoices2;;;SetChoices2;;;SetChoices2;;;SetChoices2;;
;Leave;;;;;;;Choice : (partir);Choice : (parier)(trade);;Choice : (partir);Choice : (parier)(trade);;Choice : (partir);Choice : (parier)(trade);;Choice : (partir);Choice : (parier)(trade);
;;;;;;;;Leave;CheckGold30;;Leave;CheckGold70;;Leave;CheckGold100;;Leave;CheckGold150;
;;;;;;;;;RemoveGold30;OtherSpeak : Tu n'as pas assez.;;RemoveGold70;OtherSpeak : Tu n'as pas assez.;;RemoveGold100;OtherSpeak : Tu n'as pas assez.;;RemoveGold150;OtherSpeak : Tu n'as pas assez.
[papier];;;;;;;;;OtherSpeak : Commençons;Leave;;OtherSpeak : Commençons;Leave;;OtherSpeak : Commençons;Leave;;OtherSpeak : Commençons;Leave
RandomRedoRange3;;;;;;;;;ThrowDice1;;;ThrowDice2;;;ThrowDice3;;;ThrowDice4;
OtherSpeak : Papier !;OtherSpeak : Pierre !;OtherSpeak : Ciseau !;;;;;;;OtherSpeak : Eh beh ! Joli jet...;;;OtherSpeak : Eh beh ! Joli jet...;;;OtherSpeak : Eh beh ! Joli jet...;;;OtherSpeak : Eh beh ! Joli jet...;
OtherSpeak : On est quittes !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;;;;;AddGold100;;;AddGold100;;;AddGold100;;;AddGold100;
OtherSpeak : Réessaye !;OtherSpeak : Prends ton argent…;Leave;;;;;;;Leave;;;Leave;;;Leave;;;Leave;
Node=>shifumi1;AddGold100;;;;;;;;;;;;;;;;;;
;Leave;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[ciseau];;;;;;;;;;;;;;;;;;;
RandomRedoRange3;;;;;;;;;;;;;;;;;;;
OtherSpeak : Ciseau !;OtherSpeak : Papier !;OtherSpeak : Pierre !;;;;;;;;;;;;;;;;;
OtherSpeak : On est quittes !;OtherSpeak : Errrgh…;OtherSpeak : Aha je vais garder ton argent !;;;;;;;;;;;;;;;;;
OtherSpeak : Réessaye !;OtherSpeak : Prends ton argent…;Leave;;;;;;;;;;;;;;;;;
Node=>shifumi1;AddGold100;;;;;;;;;;;;;;;;;;
;Leave;;;;;;;;;;;;;;;;;;
