;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
[chambre];;;;;;;;;;;;;;
Narrator : La chambre est très cossue, le bateau a du être attaqué par des pirates.;;;;;;;;[porte];;;;;;
[choix chambre];;;;;;;;Narrator : Une belle porte en bois sculpté se dévoile devant CAPITAINE. Ce doit être la chambre de l’officier.;;;;;;
Narrator : CAPITAINE aperçoit un beau lit dans le coin de la pièce, entouré de quelques meubles.;;;;;;;;SetChoices3;;;;;;
SetChoices3;;;;;;;;Choice : (partir);Choice : (fouiller l'épave)(loot);Choice : (ouvrir porte);;;;
Choice : (partir);Choice : (dormir);Choice : (fouiller la pièce)(loot);;;;;;Leave;Node=>suite épave;[ouvrir chambre];;;;
Node=>debut;ChangeTimeOfDay;RandomRange3;;;;;;;;RandomRange2;Node=>chambre;;;
;Node=>choix chambre;Narrator : CAPITAINE tombe sur un râtelier d’arme en parfait état.;Narrator : CAPITAINE ne trouve rien d’autre qu’un coffre rempli de choses diverses.;Narrator : CAPITAINE met ses mains sur le garde manger de l’officier.;;;;;;Fade;PlayerSpeak : La porte est totalement fermée;;;
;;LootWeapons;LootMisc;LootFood;;;;;;Node=>chambre;Choice : (utiliser clé);;Choice : (défoncer une porte);
;;Node=>choix chambre;Node=>choix chambre;Node=>choix chambre;;;;;;;CheckInInventory<Clé>/Misc;;CheckStatSTR;
;;;;;;;;;;;PlayerSpeak : La porte est grande ouverte;PlayerSpeak : Il me faut une clé;PlayerSpeak : La porte s'est ouverte !;PlayerSpeak : Rien du tout…
;;;;;;;;;;;Switch=>ouvrir chambre;Node=>porte;Switch=>ouvrir chambre;Node=>chambre
[suite épave];;;;;;;;;;;Node=>chambre;;Node=>chambre;
RandomRange6;;;;;;;;;;;;;;
[bateau vide];PlayerSpeak : De la bouffe…;PlayerSpeak : De quoi se défendre !;PlayerSpeak : Habillés pour l'hiver !;ChangeStory=>Naufragé[naufragé/debut];PlayerSpeak : On dirait des journaux, traitant de NOMTRESOR.;;;;;;;;;
PlayerSpeak : Rien !;PlayerSpeak : Ça va nous aider à tenir quelques jours.;LootWeapons;LootClothes;;PlayerSpeak : Le bateau était en route DIRECTIONTOFORMULA;;;;;;;;;
Fade;LootFood;Fade;Fade;;Fade;;;;;;;;;
Node=>debut;Fade;Node=>debut;Node=>debut;;Node=>debut;;;;;;;;;
;Node=>debut;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
[haut mât];;;;;;;;;;;;;;
PlayerSpeak : Wow !;;;;;;;;;;;;;;
PlayerSpeak : La vue est impressionante.;;;;;;;;;;;;;;
[choix mât];;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;
Choice : On redescend !;Choice : (regarder l'horizon);Choice : (observer avec longue vue);;;;;;;;;;;;
Fade;PlayerSpeak : On voit pas grand chose.;CheckInInventory<Longue vue>/Misc;;;;;;;;;;;;
Node=>debut;Fade;Fade;PlayerSpeak : Je n'ai pas de Longue vue...;;;;;;;;;;;
;Node=>debut;ObserveHorizon;Fade;;;;;;;;;;;
;;PlayerSpeak : On y voilà nettement plus clair.;Node=>debut;;;;;;;;;;;
;;Fade;;;;;;;;;;;;
;;Node=>debut;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
[épave corde];;;;;;;;;;;;;;
Narrator : NOMBATEAU fait face à une immense épave de bateau. Il devait pouvoir contenir des dizaines d'hommes.;;;;;;;;;;;;;;
SetChoices3;;;;;;;;;;;;;;
Choice : (partir);Choice : (passer la nuit ici)(dormir);Choice : (fouiller l'épave)(loot);;;;;;;;;;;;
PlayerSpeak : Tayo !;Narrator : CAPITAINE trouve rapidement quelques bloc de foin ou passer la nuit.;PlayerSpeak : La calle est trop profonde, on n’en voit pas le fond;;;;;;;;;;;;
Leave;ChangeTimeOfDay;PlayerSpeak : Je ne vais pas pouvoir descendre sans cordes.;;;;;;;;;;;;
;Node=>choix2;CheckInInventory<Corde>/Misc;;;;;;;;;;;;
;;SetChoices2;;Node=>épave corde;;;;;;;;;;
;;Choice : (sortir la corde);Choice : (partir);;;;;;;;;;;
;;Fade;Leave;;;;;;;;;;;
;;Node=>épave;;;;;;;;;;;;
