;;;;;;Choice : Une petite partie c'est pas de refus.;OtherSpeak : Reviens quand tu veux !;;;;;;;;;;
;;;;;;Node=>jeu;Leave;;;;;;;;;;
;;;;;;;;;;;;;;;;;
[comptoir];;;;;;;;;;;;;;;;;
NewCrew1;;;;;;;;;;;;;;;;;
OtherSpeak : Hélà, qu'est-ce que je vous sers ?;;;;;;;;;;;;;;;;;
[discussion];;;;;;;;;;;;;;;;;
SetChoices4;;;;;;;;;;;;;;;;;
Choice : Rien !(partir);Choice : De la nourriture !(trade);Choice : Une information sur NOMTRESOR ?!;;Choice : Il tourne bien le casino ?!(quete);;;;;;;;;;;;;
HideOther;TradeFood;RandomRange2;;RandomPercent65;;;;;;;;;;;;;
Node=>entrée casino;Node=>discussion;OtherSpeak : Ah ça c'est DIRECTIONTOFORMULA;OtherSpeak : Ah ça me dit rien non.;OtherSpeak : Ça dépend de la chance des gens.;NewQuest=>discussion;;;;;;;;;;;;
;;Node=>discussion;Node=>discussion;OtherSpeak : On est à un jet de dé de la faillite !;;;;;;;;;;;;;
;;;;Node=>discussion;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
[jeu];;;;;;;;;;;;;;;;;
ChangeStory=>Jeu[debut/sortie jeu];;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
[sortie jeu];;;;;;;;;;;;;;;;;
RandomRedoPercent5;;;;;;;;;;;;;;;;;
OtherSpeak : Ce n'est pas normal que tu gagnes comme ça !;Node=>entrée casino;;;;;;;;;;;;;;;;
OtherSpeak : Tricheur !;;;;;;;;;;;;;;;;;
OtherSpeak : Rends nous 150 pièces d'or ou crève;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;
Choice : Jamais ! (attaquer);Choice : Tenez... (trade);;;;;;;;;;;;;;;;
Node=>combatSalle;CheckGold150;;;;;;;;;;;;;;;;
;OtherSpeak :Ahah ! C'est très bien.;OtherSpeak : C'est du foutage de gueule !;;;;;;;;;;;;;;;
;OtherSpeak : Sors tout de suite de cette grange.;OtherSpeak : Tu n'as meme pas assez !;;;;;;;;;;;;;;;
;Leave;Node=>combatSalle;;;;;;;;;;;;;;;
