Choice : Je vais voir ce que c'est;;;Choice : On verra demain…(dormir);;;Narrator : L'équipage se réveille au chant des mouettes et redescende dans l'auberge.;Narrator : L'équipage se réveille dans la nuit. Seul le tavernier est éveillé dans la salle principale;;SetChoices2;;;;
Narrator : CAPITAINE aperçoit le tavernier se servir dans les poches de l’équipage;;;[ignorer];;;Node=>choix dormir;Node=>choix dormir;;Choice : (ignorer et aller dormir)(dormir);Choice : Comment va, m'sieur ?;;;
SetChoices2;;;ChangeTimeOfDay;;;[choix dormir];;;;OtherSpeak : Pas tip top.;;;
Choice : Vous pensiez nous avoir comme ça ?! (attaquer);Choice : (faire comme si de rien n’étais)(dormir);;Narrator : L'équipage se réveille. La bourse du capitaine s'est bien allégée.;;;OtherSpeak : Alors, bien dormis ?;;;;OtherSpeak : La taverne n'a pas d'oreiller pour moi.;;;
Node=>combat tavernier;Node=>ignorer;;PlayerSpeak : Ma bourse ! Qui a pris ma bourse !;;;SetChoices2;;;;OtherSpeak : Rupture de stock qu'y disent.;;;
;;;RemoveGold100;;;Choice : Non j'ai très mal dormis;Choice : Oui merci !;;;OtherSpeak : Si vous en auriez un à dépanner, ce serait magnifique.;;;
;;;SetChoices2;;;RemoveKarma;AddKarma;;;OtherSpeak : Je dois avoir deux ou trois machins à vous refourguer dans ma chambre.;;;
;;;Choice : (partir comme si de rien était)(partir);Choice : (aller voir le tavernier);;OtherSpeak : Bah merde alors…;OtherSpeak : Génial;;;CheckInInventory<Oreiller>/Misc;;;
;;;Leave;Node=>tavernier;;Node=>choix1;Node=>choix1;;;SetChoices2;;SetChoices2;
;;;;;;;;;;Choice : Tiens, tu peux dormir maintenant;Choice : J'en ai pas, gamin;Choice : Navré, je vais en manquer.;Choice : Tiens !
;;;;;;;;;;RemoveFromInventory<Oreiller>/Misc;OtherSpeak : C'est rien.;OtherSpeak : C'est rien.;OtherSpeak : Vous n’en avez pas !
;;;;;;;;;;AddKarma;Fade;Fade;Fade
;;;;;;;;;;OtherSpeak : Alors là, vous êtes bien sympathique !;Node=>choix taverne;Node=>choix taverne;Node=>choix taverne
;;;;;;;;;;OtherSpeak :  Venez jettez un coup d'oeil à ce que j'ai.;;;
;;;;;;;;;;RandomRange2;;;
;;;;;;;;;;OtherSpeak : Je colporte des bétises de tavernes en tavernes,;OtherSpeak : A vrai dire, je ne suis pas ici pou rien.;;
;;;;;;;;;;OtherSpeak : Donc je dois bien avoir quelques unes à vous offrir.;;;
;;;;;;;;;;LootMisc;OtherSpeak : Je vends des armes aux bandits de passage ici.;;
;;;;;;;;;;Fade;OtherSpeak : Vous voulez jetter un coup d'oeil au matos ?;;
;;;;;;;;;;Node=>choix taverne;SetChoices2;;
;;;;;;;;;;;Choice : Fais y voir;Choice : Au nom du Bien, je me dois d'arrêter votre cirque (attaquer);
;;;;;;;;;;;RemoveKarma;AddKarma;
;;;;;;;;;;;LootWeapons;LaunchCombat;
;;;;;;;;;;;OtherSpeak : Allez, à la prochaine;PlayerSpeak : Voilà une bonne chose de faite.;
[salle];;;;;;;;;;;Fade;Node=>choix taverne;
RandomRange4;;;;;;;;;;;Node=>choix taverne;;
Node=>salle_mercenaire;Node=>salle_vendeur de trucs;Node=>salle_joueurs;Node=>salle_rien;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[salle_mercenaire];;;;[achat mercenaire];;;[choix mercenaires];;;;;;
NewCrew4;;;;OtherSpeak : Salut mon gaminot !;OtherSpeak : Vous avez déjà acheté un homme chez nous;;SetChoices4;;;;;;
Narrator : Un groupe d'homme armés boivent.;;Node=>salle vide;OtherSpeak : Fallait pas te repointer dans la taverne !;Node=>choix mercenaires;HideOther;;Choice : Non rien(partir);Choice : Combien pour un mercenaire ?(trade);Choice : Je vous en prends un(membre);;Choice : « Gaminot » ?;;
SetChoices2;;;Node=>combat salle;;Fade;;HideOther;OtherSpeak : 100 tout rond.;CheckGold100;;OtherSpeak : Ouais gamin !;;
Choice : (partir);Choice : (parler au groupe de mercenaire);;;;Node=>salle_mercenaire;;Fade;Node=>choix mercenaires;RemoveGold100;OtherSpeak : C'est gentil mais t'as pas l'oseille gamin;Node=>gamin;;
HideOther;Node=>achat mercenaire;;;;;;Node=>salle_mercenaire;;OtherSpeak : Vous ne le regretterez pas !;HideOther;;;
Fade;;;;;;;;;Switch=>achat mercenaire;Fade;;;
Node=>choix taverne;;;;;;;;;AddMember;Node=>choix taverne;;;
;;;;;;;;;HideOther;;;;
;;;;;;;;;Fade;;;;
;;;;;;;;;Node=>choix taverne;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[salle_vendeur de trucs];;;;[choix vendeur];;;;;;;;;
NewCrew;;;;SetChoices3;;;;;;;;;
Narrator : Un homme au fond de la salle a déballé un bordel immense sur sa table.;Node=>salle vide;Node=>combat salle;;Choice : Je veux voir la marchandise(trade);Choice : Non rien(partir);Choice : Tu vends quoi ?;;;[gamin];;[salle vide];;
SetChoices2;;;;TradeMisc/Clothes;HideOther;OtherSpeak : D'abord tu me vouvoie.;;;OtherSpeak : Y'a un probleme ?;;Narrator : La salle est vide.;;
Choice : (partir);Choice : (parler au vendeur);;;HideOther;Fade;OtherSpeak : Ensuite, des objets en tout genre.;;;SetChoices2;;Fade;;
HideOther;OtherSpeak : Salut gamin !;;;Fade;Node=>salle_vendeur de trucs;SetChoices2;;;Choice : Aucun;Choice : Oh que oui (attaquer);Node=>choix taverne;;
Fade;Node=>choix vendeur;;;Node=>salle_vendeur de trucs;;Choice : je te vouvoie si je veux;Choice : Ok;;HideOther;[combat salle];;;
Node=>choix taverne;;;;;;Node=>gamin;Node=>choix vendeur;;Fade;LaunchCombat;;;
;;;;;;;;;Node=>salle;Node=>salle vide;;;
;;;;;;;;;;;;;
[salle_rien];;;;;;;;;;;;;
Narrator : Mis à part quelques ivrognes endormis, la salle est vide;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;
Node=>choix taverne;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[salle_joueurs];;;;;;;;;;;;;
NewCrew2;;;;;;;;;;;;;
Narrator : Deux hommes jouent aux cartes sur une table.;Node=>salle vide;Node=>combat salle;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;
Choice : (partir);Choice : Je peux jouer ?!;;;;;;;;;;;;
HideOther;Node=>jeu;;;;;;;;;;;;
Fade;;;;;;;;;;;;;
Node=>choix taverne;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[jeu];;;;;;;;;;;;;
ChangeStory=>Jeu[debut/taverne normale];;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
[auberge vide];;;;;;;;;;;;;
Narrator : Il n'y a plus personne dans l'auberge.;;;;;;;;;;;;;
SetChoices3;;;;;[garde manger ouvert];;;[garde manger fermé];;;;;
Choice : (reprendre le large)(partir);Choice : (repasser une nuit à l'auberge)(dormir);;Choice : (chercher à manger)(loot);;Narrator : La porte du garde manger est entrouverte;;;Narrator : La porte du garde manger est fermée;Narrator : Le garde manger est vide.;;;;
PlayerSpeak : On a rien plus rien à faire ici !;PlayerSpeak : Je crois qu'on a besoin d'une bonne nuit de sommeil;;RandomRange2;;SetChoices2;;;SetChoices3;;;;;
Leave;[chambres];;Node=>garde manger ouvert;Node=>garde manger fermé;Choice : (revenir)(partir);Choice : (fouiller)(loot);;Choice : (retourner dans la salle)(partir);Choice : (forcer la porte)(str);;Choice : (utilier une clé);;
;RandomRange2;;;;Node=>auberge vide;RandomPercent25;;Node=>auberge vide;RemoveKarma;;CheckInInventory<Clé>/Misc;;
;[dormir];PlayerSpeak : Toutes les portes sont fermées.;;;;PlayerSpeak : Il n'y a rien là dedans.;PlayerSpeak : Miam !;;CheckStatSTR;;PlayerSpeak : La porte est grande ouverte;PlayerSpeak : Il me faut une clé;
;ChangeTimeOfDay;PlayerSpeak : Il me faudrait une clé.;;;;Node=>auberge vide;LootFood;;PlayerSpeak : La porte s'est ouverte !;PlayerSpeak : Rien du tout…;LootFood;Node=>auberge vide;
;Node=>auberge vide;SetChoices3;;;;;RemoveKarma;;LootFood;Node=>auberge vide;Switch=>garde manger fermé;;
;;Choice : (revenir à l’auberge);Choice : (utiliser clé);;Choice : (défoncer une porte);;Node=>auberge vide;;Switch=>garde manger fermé;;Node=>auberge vide;;
;;Node=>auberge vide;CheckInInventory<Clé>/Misc;;CheckStatSTR;;;;Node=>auberge vide;;;;
;;;PlayerSpeak : La porte est grande ouverte;PlayerSpeak : Il me faut une clé;PlayerSpeak : La porte s'est ouverte !;PlayerSpeak : Rien du tout…;;;;;;;
;;;Switch=>chambres;Node=>auberge vide;Switch=>chambres;Node=>auberge vide;;;;;;;
;;;Node=>dormir;;Node=>dormir;;;;;;;;
