;;Node=>porte ouverte;;Node=>porte ouverte;;;;Node=>porte ouverte;;Node=>porte ouverte;;Node=>porte ouverte;;Narrator : Après avoir désendu pendant une prétendue éternité, CAPITAINE se retrouve en bas du trou.;Node=>choix porte;Fade;;Node=>porte ouverte;
;;;;;;;;;;;;;;Node=>grotte;;Node=>choix porte;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[grotte];;;;;;;;;;;;;;;;;;;
Narrator : Tout est sombre. Mais, au fond, un coffre apparaît, dans toute sa brillance.;;;;;;;;;;;;;;;;;;;
SetChoices2;;;;;;;;;;;;;;;;;;;
Choice : (ouvrir);;;;Choice : (partir);;;;;;;;;;;;;;;
RandomRange3;;;;Leave;;;;;;;;;;;;;;;
[gold];;PlayerSpeak : Wew !;PlayerSpeak : Waw !;;;;;;;;;;;;;;;;
PlayerSpeak : Wow !;PlayerSpeak : J'ai pris tout l'or;LootClothes;LootWeapons;;;;;;;;;;;;;;;;
AddGold80;Node=>grotte;Node=>grotte;PlayerSpeak : Armés jusqu'aux dents on est !;;;;;;;;;;;;;;;;
Switch=>gold;;;Node=>grotte;;;;;;;;;;;;;;;;
PlayerSpeak : ça fait beaucoup d'argent.;;;;;;;;;;;;;;;;;;;
Node=>grotte;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[forêt];;;;;;;;;;;;;;;;;;;
RandomPercent40;;;;;;;;;;;;;;;;;;;
PlayerSpeak : Une caisse de nourriture !;PlayerSpeak : Rien.;;;;;;;;;;;;;;;;;;
LootFood;Node=>end foret;;;;;;;;;;;;;;;;;;
Node=>end foret;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
[end foret];;;;;;;;;;;;;;;;;;;
SetChoices1;;;;;;;;;;;;;;;;;;;
Choice : (revenir en arrière)(partir);;;;;;;;;;;;;;;;;;;
Fade;;;;;;;;;;;;;;;;;;;
Node=>bois;;;;;;;;;;;;;;;;;;;
